tabla_origen,fk_name,fk_index,tabla_destino,pk_name,pk_index
PARMOVS01,FK_PARMOVS_1,FK_PARMOVS_1,MOVS01,PK_MOVS01,PK_MOVS01
PARMOVS02,FK_PARMOVS_2,FK_PARMOVS_2,MOVS02,PK_MOVS02,PK_MOVS02
PARMOVS03,FK_PARMOVS_3,FK_PARMOVS_3,MOVS03,PK_MOVS03,PK_MOVS03
PARMOVS04,FK_PARMOVS_4,FK_PARMOVS_4,MOVS04,PK_MOVS04,PK_MOVS04
PARMOVS05,FK_PARMOVS_5,FK_PARMOVS_5,MOVS05,PK_MOVS05,PK_MOVS05
PARMOVS06,FK_PARMOVS_6,FK_PARMOVS_6,MOVS06,PK_MOVS06,PK_MOVS06
PARMOVS07,FK_PARMOVS_7,FK_PARMOVS_7,MOVS07,PK_MOVS07,PK_MOVS07
PARMOVS08,FK_PARMOVS_8,FK_PARMOVS_8,MOVS08,PK_MOVS08,PK_MOVS08
PARMOVS09,FK_PARMOVS_9,FK_PARMOVS_9,MOVS09,PK_MOVS09,PK_MOVS09
PARMOVS10,FK_PARMOVS_10,FK_PARMOVS_10,MOVS10,PK_MOVS10,PK_MOVS10
PARMOVS11,FK_PARMOVS_11,FK_PARMOVS_11,MOVS11,PK_MOVS11,PK_MOVS11
PARMOVS12,FK_PARMOVS_12,FK_PARMOVS_12,MOVS12,PK_MOVS12,PK_MOVS12
PARMOVS13,FK_PARMOVS_13,FK_PARMOVS_13,MOVS13,PK_MOVS13,PK_MOVS13
PARMOVS14,FK_PARMOVS_14,FK_PARMOVS_14,MOVS14,PK_MOVS14,PK_MOVS14
PARMOVS15,FK_PARMOVS_15,FK_PARMOVS_15,MOVS15,PK_MOVS15,PK_MOVS15
PARMOVS16,FK_PARMOVS_16,FK_PARMOVS_16,MOVS16,PK_MOVS16,PK_MOVS16
PARMOVS17,FK_PARMOVS_17,FK_PARMOVS_17,MOVS17,PK_MOVS17,PK_MOVS17
PARMOVS18,FK_PARMOVS_18,FK_PARMOVS_18,MOVS18,PK_MOVS18,PK_MOVS18
PARMOVS19,FK_PARMOVS_19,FK_PARMOVS_19,MOVS19,PK_MOVS19,PK_MOVS19
PARMOVS20,FK_PARMOVS_20,FK_PARMOVS_20,MOVS20,PK_MOVS20,PK_MOVS20
PARMOVS21,FK_PARMOVS_21,FK_PARMOVS_21,MOVS21,PK_MOVS21,PK_MOVS21
PARMOVS22,FK_PARMOVS_22,FK_PARMOVS_22,MOVS22,PK_MOVS22,PK_MOVS22
PARMOVS23,FK_PARMOVS_23,FK_PARMOVS_23,MOVS23,PK_MOVS23,PK_MOVS23
PARMOVS24,FK_PARMOVS_24,FK_PARMOVS_24,MOVS24,PK_MOVS24,PK_MOVS24
PARMOVS25,FK_PARMOVS_25,FK_PARMOVS_25,MOVS25,PK_MOVS25,PK_MOVS25
PARMOVS26,FK_PARMOVS_26,FK_PARMOVS_26,MOVS26,PK_MOVS26,PK_MOVS26
PARMOVS27,FK_PARMOVS_27,FK_PARMOVS_27,MOVS27,PK_MOVS27,PK_MOVS27
PARMOVS28,FK_PARMOVS_28,FK_PARMOVS_28,MOVS28,PK_MOVS28,PK_MOVS28
PARMOVS29,FK_PARMOVS_29,FK_PARMOVS_29,MOVS29,PK_MOVS29,PK_MOVS29
PARMOVS30,FK_PARMOVS_30,FK_PARMOVS_30,MOVS30,PK_MOVS30,PK_MOVS30
PARMOVS31,FK_PARMOVS_31,FK_PARMOVS_31,MOVS31,PK_MOVS31,PK_MOVS31
PARMOVS32,FK_PARMOVS_32,FK_PARMOVS_32,MOVS32,PK_MOVS32,PK_MOVS32
UUIDTIMBRES01,FK_UUIDPARMOVS_1,FK_UUIDPARMOVS_1,PARMOVS01,PK_PARMOVS01,PK_PARMOVS01
UUIDTIMBRES02,FK_UUIDPARMOVS_2,FK_UUIDPARMOVS_2,PARMOVS02,PK_PARMOVS02,PK_PARMOVS02
UUIDTIMBRES03,FK_UUIDPARMOVS_3,FK_UUIDPARMOVS_3,PARMOVS03,PK_PARMOVS03,PK_PARMOVS03
UUIDTIMBRES04,FK_UUIDPARMOVS_4,FK_UUIDPARMOVS_4,PARMOVS04,PK_PARMOVS04,PK_PARMOVS04
UUIDTIMBRES05,FK_UUIDPARMOVS_5,FK_UUIDPARMOVS_5,PARMOVS05,PK_PARMOVS05,PK_PARMOVS05
UUIDTIMBRES06,FK_UUIDPARMOVS_6,FK_UUIDPARMOVS_6,PARMOVS06,PK_PARMOVS06,PK_PARMOVS06
UUIDTIMBRES07,FK_UUIDPARMOVS_7,FK_UUIDPARMOVS_7,PARMOVS07,PK_PARMOVS07,PK_PARMOVS07
UUIDTIMBRES08,FK_UUIDPARMOVS_8,FK_UUIDPARMOVS_8,PARMOVS08,PK_PARMOVS08,PK_PARMOVS08
UUIDTIMBRES09,FK_UUIDPARMOVS_9,FK_UUIDPARMOVS_9,PARMOVS09,PK_PARMOVS09,PK_PARMOVS09
UUIDTIMBRES10,FK_UUIDPARMOVS_10,FK_UUIDPARMOVS_10,PARMOVS10,PK_PARMOVS10,PK_PARMOVS10
UUIDTIMBRES11,FK_UUIDPARMOVS_11,FK_UUIDPARMOVS_11,PARMOVS11,PK_PARMOVS11,PK_PARMOVS11
UUIDTIMBRES12,FK_UUIDPARMOVS_12,FK_UUIDPARMOVS_12,PARMOVS12,PK_PARMOVS12,PK_PARMOVS12
UUIDTIMBRES13,FK_UUIDPARMOVS_13,FK_UUIDPARMOVS_13,PARMOVS13,PK_PARMOVS13,PK_PARMOVS13
UUIDTIMBRES14,FK_UUIDPARMOVS_14,FK_UUIDPARMOVS_14,PARMOVS14,PK_PARMOVS14,PK_PARMOVS14
UUIDTIMBRES15,FK_UUIDPARMOVS_15,FK_UUIDPARMOVS_15,PARMOVS15,PK_PARMOVS15,PK_PARMOVS15
UUIDTIMBRES16,FK_UUIDPARMOVS_16,FK_UUIDPARMOVS_16,PARMOVS16,PK_PARMOVS16,PK_PARMOVS16
UUIDTIMBRES17,FK_UUIDPARMOVS_17,FK_UUIDPARMOVS_17,PARMOVS17,PK_PARMOVS17,PK_PARMOVS17
UUIDTIMBRES18,FK_UUIDPARMOVS_18,FK_UUIDPARMOVS_18,PARMOVS18,PK_PARMOVS18,PK_PARMOVS18
UUIDTIMBRES19,FK_UUIDPARMOVS_19,FK_UUIDPARMOVS_19,PARMOVS19,PK_PARMOVS19,PK_PARMOVS19
UUIDTIMBRES20,FK_UUIDPARMOVS_20,FK_UUIDPARMOVS_20,PARMOVS20,PK_PARMOVS20,PK_PARMOVS20
UUIDTIMBRES21,FK_UUIDPARMOVS_21,FK_UUIDPARMOVS_21,PARMOVS21,PK_PARMOVS21,PK_PARMOVS21
UUIDTIMBRES22,FK_UUIDPARMOVS_22,FK_UUIDPARMOVS_22,PARMOVS22,PK_PARMOVS22,PK_PARMOVS22
UUIDTIMBRES23,FK_UUIDPARMOVS_23,FK_UUIDPARMOVS_23,PARMOVS23,PK_PARMOVS23,PK_PARMOVS23
UUIDTIMBRES24,FK_UUIDPARMOVS_24,FK_UUIDPARMOVS_24,PARMOVS24,PK_PARMOVS24,PK_PARMOVS24
UUIDTIMBRES25,FK_UUIDPARMOVS_25,FK_UUIDPARMOVS_25,PARMOVS25,PK_PARMOVS25,PK_PARMOVS25
UUIDTIMBRES26,FK_UUIDPARMOVS_26,FK_UUIDPARMOVS_26,PARMOVS26,PK_PARMOVS26,PK_PARMOVS26
UUIDTIMBRES27,FK_UUIDPARMOVS_27,FK_UUIDPARMOVS_27,PARMOVS27,PK_PARMOVS27,PK_PARMOVS27
UUIDTIMBRES28,FK_UUIDPARMOVS_28,FK_UUIDPARMOVS_28,PARMOVS28,PK_PARMOVS28,PK_PARMOVS28
UUIDTIMBRES29,FK_UUIDPARMOVS_29,FK_UUIDPARMOVS_29,PARMOVS29,PK_PARMOVS29,PK_PARMOVS29
UUIDTIMBRES30,FK_UUIDPARMOVS_30,FK_UUIDPARMOVS_30,PARMOVS30,PK_PARMOVS30,PK_PARMOVS30
UUIDTIMBRES31,FK_UUIDPARMOVS_31,FK_UUIDPARMOVS_31,PARMOVS31,PK_PARMOVS31,PK_PARMOVS31
UUIDTIMBRES32,FK_UUIDPARMOVS_32,FK_UUIDPARMOVS_32,PARMOVS32,PK_PARMOVS32,PK_PARMOVS32
